"filename", "language", "JavaScript", "comment", "blank", "total"
"d:\Projetos\P5Game\src\gameObjects\gameObject.js", "JavaScript", 176, 6, 46, 228
"d:\Projetos\P5Game\src\gameObjects\gameObjectList.js", "JavaScript", 2, 0, 2, 4
"d:\Projetos\P5Game\src\gameObjects\square.js", "JavaScript", 24, 0, 6, 30
"d:\Projetos\P5Game\src\gameObjects\squareChildren.js", "JavaScript", 28, 0, 8, 36
"d:\Projetos\P5Game\src\helpers\colorHelper.js", "JavaScript", 14, 0, 2, 16
"d:\Projetos\P5Game\src\p5Game.js", "JavaScript", 70, 3, 16, 89
"d:\Projetos\P5Game\src\scenes\Scene.js", "JavaScript", 38, 0, 6, 44
"d:\Projetos\P5Game\src\scenes\scenesList.js", "JavaScript", 7, 0, 2, 9
"d:\Projetos\P5Game\src\scenes\testScene.js", "JavaScript", 28, 0, 1, 29
"d:\Projetos\P5Game\src\scenes\testScene2.js", "JavaScript", 18, 0, 3, 21
"Total", "-", 405, 9, 92, 506
